**ISP**,**Locations**,**Public IPv6**,**Crypto Payments**,**Comments**,**Last Updated**
[Flokinet](https://flokinet.is),"Netherlands, Iceland, Romania,France","Yes, needs a ticket and custom setup","yes, including XMR","Very slow customer support. SMTP outbound (25/465/587) open by default - all FlokiNET-hosted exits pass real Gmail/Fastmail/Yandex/Outlook banner test.",04/2026
[Lowendbox](https://lowendbox.com/category/dedicated-servers), , , ,Just an aggregator with good offers,07/2025
[Thundervm](https://thundervm.com/en/hosting/dedicated-server),"USA, UK, France, Italy, Switzerland, Netherlands",,Yes, ,07/2025
[OVH](https://us.ovhcloud.com/bare-metal/rise/rise-3/),"USA, DE, FR, UK, PL, CA", ,No,"Exit nodes not allowed on VPS offering, see their [Service Specific Terms](https://us.ovhcloud.com/legal/service-specific-terms/). Not all locations always available. SMTP outbound (25/465/587) generally open with rate limits; some operator-specific iptables filters observed on individual nodes.",04/2026
[Mebilcom](https://www.melbicom.net/dedicatedserver/),"NL, US, DE, UAE, NG, ESP, IN, IT, FR, LT, SG, BG, LV, PL",,No,"SMTP outbound (25/465/587) filtered at the network edge across all observed Melbikom-hosted Nym exits. Unblock unlikely without case-by-case justification.",04/2026
[Servermania](https://www.servermania.com/dedicated-servers-hosting.htm),"USA, Canada",,No,,07/2025
[Oneprovider](https://oneprovider.com/en/dedicated-servers/ipv6),"PL, FR, NL, UA, USA, BG, RO, DK, ESP, NO, CZ, RS, IE, IT, UK, HU, CH, SK, AT, BE, BA, HK, JP, SG, LU, AU, SWE, UAE, BR, CR, MX, GR, CL, MA, AR",Yes,No,"SMTP outbound (25/465/587) filtered by default in many DCs (confirmed: Stockholm, Taipei, Zurich; some US DCs incl. Ashburn). Unblock can be requested via ticket and is usually granted within hours, conditional on no abuse. Guatemala DC observed open by default.",04/2026
[Ionos](https://www.ionos.com/servers/amd-servers),"USA, DE, UK, ESP, FR",,No,"SMTP outbound (25) blocked by default; 465/587 typically allowed.",04/2026
[Leaseweb](https://www.leaseweb.com/en/configure/vc/product/entityKey/DEDSER02_NEW_ORDER_BUSINESS_R740XD-24SFF-6134),"USA, NL, DE, UK, CA, SG, JP, AUS, HK",,No,"KYC mandatory. SMTP outbound varies by DC; APAC DCs observed filtered, others open.",04/2026
[M247](https://m247.com/eu/services/host/dedicated-servers/),"UK, Austria, Br, Sw, Jp, Poland, Fr, USA, Netherlands",Yes,No,"SMTP outbound (25/465/587) open by default on all observed M247-hosted exits.",04/2026
[Hostroyale](https://hostroyale.com/hosting/dedicated-server/),Various countries with different pricing,, Yes,,07/2025
[DataPacket](https://www.datapacket.com/pricing),"NL, GR, SK, BE, RO, HU, DK, IE, DE, UA, PT, GB, ES, FR, IT, NO, CZ, BG, SE, AT, PL, HR, CH, USA, CO, AR, PE, MX, CL, TR, ZA, NG, IL, HK, AU, SG, JP",Yes,,,07/2025
[Zenlayer](https://www.zenlayer.com/bare-metal/), [advertised over 50 locations](50+ https://www.zenlayer.com/global-network),,,,07/2025
[PrivateLayer](https://privatelayer.com),Swiss,Yes,Yes,Slow customer response,07/2025
[AmeriNoc](https://www.amerinoc.com),USA,Yes,,,07/2025
[Colocall](https://www.colocall.net/),Ukraine,Yes,,,07/2025
[Incognet](https://incognet.io/kansas-city-dedicated-servers),"USA, Netherlands",Yes,,,07/2025
[FranTech](https://my.frantech.ca),USA,Yes,,,07/2025
[Psychz](https://www.psychz.net),"USA, UK, Brazil, Japan, Russia, South Africa and many more",Yes,,,07/2025
[Fsit](https://www.fsit.com/server/vps-vserver-kvm),Swiss,Yes,Yes,,07/2025
[NiceVPS](https://nicevps.net/),Netherlands,Yes,,,07/2025
[Dataclub](https://www.dataclub.eu/),"Latvia, Sweden, Netherlands",Yes,,,07/2027
[Privex](https://www.privex.io/tor-exit-policy/),"USA, Germany, Sweden",Yes,Yes,,07/2025
[Svea](https://svea.net/vps),Sweden,Yes,,,07/2025
[Hostraha](https://hostraha.com),Kenya and other African countries,"No, but advertised otherwise","Yes, USDT TRC20","Don't recommend. Unresponsive technical and billing support, never provided IPv6 even though advertised and paid for. When VPS cancelled, company still tried to bill the credit card on file multiple times.",08/2025
[HostHatch](https://hosthatch.com),"USA, NL, DE, IN, AE, SG, JP, AU, SE",Yes,Yes,"SMTP outbound (25/465/587) open by default on all observed HostHatch-hosted Nym exits.",04/2026
[netcup](https://www.netcup.com),"DE, AT, NL, US","Yes, on by default","No","SMTP outbound varies. EU DCs (DE, AT, NL) generally open with rate limits. US DCs observed filtered (Aether-gw-us cluster). Open ticket to confirm/request unblock.",04/2026
[Contabo](https://contabo.com),"DE, US, UK, SG, JP, IN, AU","Yes, on by default","No","SMTP outbound (25) blocked by default to prevent abuse. Ports 465/587 typically open. Request unblock with use case description.",04/2026
[Hetzner](https://www.hetzner.com),"DE, FI, US","Yes, on by default","No","SMTP outbound (25) blocked by default. 465/587 generally open. Unblock for port 25 requires identity verification and stated business use case; granted case-by-case.",04/2026
[WorkTitans](https://worktitans.com),"GE, RU, AE, CY, BG, GB, MD, multiple resold ranges","Yes, on by default","Yes","SMTP outbound (25/465/587) open by default on virtually all observed WorkTitans-hosted Nym exits (113/113 tested with only minor IP-reputation issues at a few endpoints). Privacy-friendly reseller.",04/2026
[xneelo](https://xneelo.co.za),"South Africa","Yes, on by default","No","SMTP outbound (25/465/587) open by default. Reliable South African provider.",04/2026
[DigitalOcean](https://www.digitalocean.com),"USA, Canada, NL, DE, UK, IN, SG, AU","Yes, on by default","No","SMTP outbound (25) blocked by default for all new accounts as anti-abuse policy. Unblock requires account verification and submitting a use case to support; not always granted. Ports 465/587 sometimes also affected.",04/2026
